Raw_Country,Clean_Country
Japon,Japan
Corea del Sur,South Korea
Singapur,Singapore
Turquia,Turkey
Estados Unidos,United States
Republica Democratica del Congo,Democratic Republic of the Congo
Marruecos,Morocco
Alemania,Germany
Francia,France
Paises Bajos,Netherlands
Reino Unido,United Kingdom
Republica Dominicana,Dominican Republic
Brasil,Brazil
Ecuador,Ecuador
Costa de Marfil,Ivory Coast
Egipto,Egypt
Italia,Italy
Espana,Spain
Suecia,Sweden
Argelia,Algeria
SudAfrica,South Africa
Ruanda,Rwanda
Nueva Zelanda,New Zealand
Banglades,Bangladesh
Tailandia,Thailand
Irak,Iraq
Arabia Saudi,Saudi Arabia
Filipinas,Philippines
Kazajistan,Kazakhstan
Myanmar (Birmania),Myanmar
Camerun,Cameroon
Kenia,Kenya
Ucrania,Ukraine
Polonia,Poland
Trinidad y Tobago,Trinidad and Tobago
Malasia,Malaysia
Finlandia,Finland
Rusia,Russia
Irlanda,Ireland
Noruega,Norway
Eslovaquia,Slovakia
Belgica,Belgium
Etiopia,Ethiopia
Kirguistan,Kyrgyzstan
Emiratos arabes Unidos,United Arab Emirates
Lesoto,Lesotho
Lituania,Lithuania
Suiza,Switzerland
Dinamarca,Denmark
Bielorrusia,Belarus
Croacia,Croatia
Barein,Bahrain
Republica Checa,Czech Republic
Zimbabue,Zimbabwe
Libia,Libya
Tayikistan,Tajikistan
Siria,Syria
Papua Nueva Guinea,Papua New Guinea
Azerbaiyan,Azerbaijan
Turkmenistan,Turkmenistan
Jordania,Jordan
Martinica,Martinique
Republica del Congo,Republic of the Congo
Bosnia y Herzegovina,Bosnia and Herzegovina
Tunez,Tunisia
Yibuti,Djibouti
Sudan del Sur,South Sudan
Luxemburgo,Luxembourg
Grecia,Greece
Suazilandia,Eswatini
Guayana Francesa,French Guiana
Republica Centroafricana,Central African Republic
Libano,Lebanon
Chipre,Cyprus
Surinam,Suriname
Belice,Belize
Eslovenia,Slovenia
Republica de Gambia,Gambia
Botsuana,Botswana
Guinea Ecuatorial,Equatorial Guinea
Sahara Occidental,Western Sahara